,Genus,Species,Pathovar,Strain,LIN,Genome_ID
197,Pseudomonas,coronafaciens,pv_porri,ICMP8961,"0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0",293
198,Pseudomonas,syringae,pv_primulae,ICMP3956,"0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",294
199,Pseudomonas,savastanoi,pv_retacarpa,ICMP16945,"0,0,0,0,0,2,0,0,3,2,0,0,2,0,0,0,0,0,0,0",295
200,Pseudomonas,syringae,pv_ribicola,ICMP3882,"0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0",296
201,Pseudomonas,amygdali,pv_sesami,ICMP763,"0,0,0,0,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0",297
202,Pseudomonas,savastanoi,pv_savastanoi,ICMP4352,"0,0,0,0,0,2,0,0,3,2,0,0,3,0,0,0,0,0,0,0",298
203,Pseudomonas,amygdali,pv_tabaci,ICMP2835,"0,0,0,0,0,2,0,1,3,0,0,1,0,0,0,0,0,0,0,0",299
204,Pseudomonas,syringae,pv_tagetis,ICMP4091,"0,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0",300
205,Pseudomonas,tremae,pv_tremae,ICMP9151,"0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0",301
206,Pseudomonas,amygdali,pv_ulmi,ICMP3962,"0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0",302
207,Pseudomonas,syringae,pv_viburni,ICMP3963,"0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0",303
208,Pseudomonas,viridiflava,No,ICMP2848,"0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0",304
209,Pseudomonas,coronafaciens,pv_zizaniae,ICMP8921,"0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0",305
210,Pseudomonas,savastanoi,pv_fraxini,ICMP7711,"0,0,0,0,0,2,0,0,3,2,0,0,4,0,0,0,0,0,0,0",306
